ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														683	11:27:08.274	1.39747E+15																3		Fixation	433			41	972	748	996	695	984	721			273,21	84,46	279,87	99,37	276,54	91,91	207,47	298,60	539,40	273,98	297,10	538,34					622,77	622,77	3,24	3,39	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														700	11:27:08.290	1.39747E+15																3		Fixation	433			42	970	761	1008	689	989	725			272,52	80,80	283,10	101,02	277,81	90,91	207,28	298,88	539,54	273,78	297,32	538,36					623,04	623,04	3,27	3,41	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														716	11:27:08.307	1.39747E+15																3		Fixation	433			43	975	753	1007	682	991	717			274,00	83,06	282,79	102,94	278,39	93,00	207,12	299,21	539,77	273,62	297,47	538,40					623,42	623,42	3,29	3,40	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														733	11:27:08.324	1.39747E+15																3		Fixation	433			44	973	762	1011	697	992	729			273,34	80,74	284,10	98,81	278,72	89,78	206,99	299,47	540,00	273,48	297,56	538,49					623,76	623,76	3,30	3,45	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														750	11:27:08.340	1.39747E+15																3		Fixation	433			45	956	763	1002	697	979	730			268,61	80,23	281,49	98,81	275,05	89,52	206,91	299,62	540,22	273,39	297,59	538,67					624,03	624,03	3,33	3,49	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														766	11:27:08.357	1.39747E+15																3		Fixation	433			46	967	775	1012	694	989	734			271,79	77,04	284,25	99,65	278,02	88,35	206,84	299,70	540,47	273,33	297,52	538,82					624,29	624,29	3,37	3,51	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														783	11:27:08.374	1.39747E+15																3		Fixation	433			47	975	755	1014	685	994	720			273,96	82,57	284,88	102,25	279,42	92,41	206,81	299,83	540,81	273,30	297,53	539,08					624,65	624,65	3,36	3,51	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														800	11:27:08.390	1.39747E+15																3		Fixation	433			48	968	759	1009	688	988	723			272,00	81,59	283,39	101,46	277,69	91,53	206,83	299,92	541,02	273,31	297,60	539,38					624,87	624,87	3,39	3,52	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														816	11:27:08.407	1.39747E+15																3		Fixation	433			49	981	762	1003	697	992	729			275,74	80,57	281,75	98,77	278,75	89,67	206,87	299,93	541,01	273,37	297,70	539,68					624,86	624,86	3,38	3,59	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														833	11:27:08.424	1.39747E+15																3		Fixation	433			50	965	751	1020	691	992	721			271,11	83,74	286,44	100,55	278,77	92,14	206,91	300,10	541,13	273,41	297,73	539,78					625,06	625,06	3,43	3,59	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														849	11:27:08.440	1.39747E+15																3		Fixation	433			51	975	755	1018	705	996	730			273,95	82,56	286,08	96,50	280,02	89,53	206,96	300,34	541,29	273,44	297,80	539,90					625,32	625,32	3,42	3,60	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														866	11:27:08.457	1.39747E+15																3		Fixation	433			52	970	761	1021	703	995	732			272,48	80,98	286,95	97,18	279,72	89,08	206,99	300,50	541,36	273,48	298,01	540,18					625,46	625,46	3,45	3,63	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														883	11:27:08.474	1.39747E+15																3		Fixation	433			53	968	768	1028	689	998	728			271,84	78,87	288,81	101,17	280,32	90,02	207,00	300,74	541,58	273,50	298,21	540,44					625,78	625,78	3,50	3,63	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														899	11:27:08.490	1.39747E+15																3		Fixation	433			54	990	724	1058	679	1024	701			278,27	91,40	297,33	103,83	287,80	97,62	206,97	300,78	541,50	273,47	298,26	540,37					625,73	625,73	3,43	3,61	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														916	11:27:08.507	1.39747E+15																3		Fixation	433			55	989	761			989	761			277,91	80,82					206,71	301,26	541,71		-37,02						626,18		3,51		0	4			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														933	11:27:08.524	1.39747E+15																3		Fixation	433			56	790	419	837	402	813	410			221,93	176,75	235,03	181,33	228,48	179,04	206,46	301,73	541,90	272,88	299,56	540,98					626,60	626,60	3,50	3,72	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														949	11:27:08.540	1.39747E+15																4		Fixation	166			57	797	421	833	410	815	415			223,95	176,14	234,05	179,27	229,00	177,71	206,30	301,85	541,91	272,72	299,38	540,32					626,68	626,68	3,55	3,74	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														966	11:27:08.557	1.39747E+15																4		Fixation	166			58	804	413	818	394	811	403			225,92	178,26	229,75	183,60	227,83	180,93	206,13	301,84	541,80	272,59	299,37	540,13					626,60	626,60	3,54	3,73	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														983	11:27:08.574	1.39747E+15																4		Fixation	166			59	797	418	820	396	808	407			223,86	177,05	230,50	183,09	227,18	180,07	205,94	301,82	541,81	272,42	299,46	540,12					626,60	626,60	3,57	3,73	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														1000	11:27:08.590	1.39747E+15																4		Fixation	166			60	799	417	818	394	808	405			224,60	177,30	229,93	183,67	227,27	180,48	205,73	301,79	541,91	272,24	299,47	540,09					626,68	626,68	3,57	3,73	0	0			
